epoch,accuracy,loss,val_accuracy,val_loss
1,50.924,0.021096195,61.97,0.016386375
2,68.692,0.013702609,67.35,0.014548773
3,76.064,0.010649904,75.67,0.010783973
4,80.862,0.008604105,77.72,0.009935914
5,84.198,0.007126336,79.7,0.009461
6,87.202,0.005828024,80.26,0.009321794
7,89.456,0.004797087,77.42,0.01157481
8,91.452,0.003935895,79.97,0.009750378
9,93.15,0.003160255,80.51,0.010155214
10,94.438,0.002601836,82.17,0.0091028
,,,,
Train Accuracy: 94.438,,,,
Test Accuracy: 82.17,,,,
,,,,
ClassName,Accuracy,,,
plane,83.7,,,
car,91.6,,,
bird,76.7,,,
cat,58.9,,,
deer,79.6,,,
dog,77.6,,,
frog,88.2,,,
horse,84.8,,,
ship,89.6,,,
truck,87.8,,,
1,54.012,0.01995533019900322,65.23,0.016537551325559615
2,73.334,0.011861100118160248,72.58,0.012082033786177636
3,79.832,0.00907690045773983,73.18,0.013081853729486465
4,83.632,0.007343259955942631,82.14,0.008270488202571868
5,86.382,0.006164692519009114,80.49,0.009171184295415878
6,88.796,0.005082638627141714,82.31,0.008546888102591037
